id,pickup,count
0,46.507833/6.652842,14
1,46.510731/6.630553,55
2,46.517116/6.630342,390
3,46.517122/6.613410,1
4,46.517671/6.638005,19
5,46.518684/6.637826,3
6,46.518914/6.637911,81
7,46.519517/6.639571,3
8,46.520649/6.635173,995
9,46.520946/6.63368,6
10,46.521329/6.630481,30
11,46.521701/6.639626,63
12,46.522014/6.627691,171
13,46.522226/6.626827,5
14,46.522273/6.630044,3
15,46.522426/6.642152,36
16,46.522719/6.63815,19
17,46.522783/6.639384,3
18,46.523787/6.630911,12
19,46.523815/6.636847,2
20,46.523953/6.625008,24
21,46.525477/6.632925,2
22,46.525731/6.634123,2
23,46.526720/6.638082,2
24,46.527087/6.604758,15
25,46.527252/6.623525,3
26,46.527964/6.630955,12
27,46.531225/6.633482,1
28,46.531433/6.62643,17
29,46.533304/6.617839,1
30,46.535762/6.607472,3
31,46.536840/6.581138,7
